Group or Cons,Year,SpeciesName,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Area km2,Sequence
"Balyerwa, Wuparo, Dzoti",2010,Duiker,9,8,157,91,270,660,1
"Balyerwa, Wuparo, Dzoti",2010,Elephant,26,2,377,131,1084,660,1
"Balyerwa, Wuparo, Dzoti",2010,Kudu,2,1,65,21,198,660,1
"Balyerwa, Wuparo, Dzoti",2011,Duiker,6,6,172,100,297,660,1
"Balyerwa, Wuparo, Dzoti",2011,Elephant,35,5,167,49,564,660,1
"Balyerwa, Wuparo, Dzoti",2011,Kudu,27,6,85,36,201,660,1
"Balyerwa, Wuparo, Dzoti",2011,Warthog,9,3,61,26,143,660,1
"Balyerwa, Wuparo, Dzoti",2012,Duiker,4,4,151,87,260,660,1
"Balyerwa, Wuparo, Dzoti",2012,Elephant,74,11,210,85,521,660,1
"Balyerwa, Wuparo, Dzoti",2012,Kudu,24,3,113,56,230,660,1
"Balyerwa, Wuparo, Dzoti",2012,Warthog,6,3,38,18,81,660,1
"Balyerwa, Wuparo, Dzoti",2013,Burchell's Zebra,43,3,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2013,Duiker,14,14,155,76,317,660,1
"Balyerwa, Wuparo, Dzoti",2013,Elephant,128,14,372,169,820,660,1
"Balyerwa, Wuparo, Dzoti",2013,Impala,25,2,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2013,Kudu,23,3,118,58,240,660,1
"Balyerwa, Wuparo, Dzoti",2013,Roan,25,7,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2013,Warthog,15,8,86,40,188,660,1
"Balyerwa, Wuparo, Dzoti",2014,Burchell's Zebra,18,3,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2014,Duiker,13,11,179,109,293,660,1
"Balyerwa, Wuparo, Dzoti",2014,Elephant,42,4,417,189,919,660,1
"Balyerwa, Wuparo, Dzoti",2014,Impala,12,3,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2014,Kudu,5,2,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2014,Roan,17,3,50,22,112,660,1
"Balyerwa, Wuparo, Dzoti",2014,Sable,18,1,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2014,Steenbok,2,2,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2014,Warthog,12,6,79,40,158,660,1
"Balyerwa, Wuparo, Dzoti",2015,Burchell's Zebra,69,6,,,,660,1
"Balyerwa, Wuparo, Dzoti",2015,Duiker,8,8,172,108,272,660,1
"Balyerwa, Wuparo, Dzoti",2015,Elephant,24,3,320,133,769,660,1
"Balyerwa, Wuparo, Dzoti",2015,Impala,58,3,,,,660,1
"Balyerwa, Wuparo, Dzoti",2015,Kudu,19,5,,,,660,1
"Balyerwa, Wuparo, Dzoti",2015,Roan,9,5,62,30,126,660,1
"Balyerwa, Wuparo, Dzoti",2015,Sable,2,2,,,,660,1
"Balyerwa, Wuparo, Dzoti",2015,Steenbok,1,1,,,,660,1
"Balyerwa, Wuparo, Dzoti",2015,Warthog,3,2,99,46,212,660,1
"Balyerwa, Wuparo, Dzoti",2016,Burchell's Zebra,50,5,319,130,780,660,1
"Balyerwa, Wuparo, Dzoti",2016,Duiker,14,12,212,120,370,660,1
"Balyerwa, Wuparo, Dzoti",2016,Elephant,132,4,291,90,940,660,1
"Balyerwa, Wuparo, Dzoti",2016,Kudu,9,3,103,30,330,660,1
"Balyerwa, Wuparo, Dzoti",2016,Roan,15,5,50,30,130,660,1
"Balyerwa, Wuparo, Dzoti",2016,Warthog,3,2,52,20,160,660,1
"Balyerwa, Wuparo, Dzoti",2017,Burchell's Zebra,94,8,260,129,523,660,1
"Balyerwa, Wuparo, Dzoti",2017,Duiker,8,7,177,100,315,660,1
"Balyerwa, Wuparo, Dzoti",2017,Elephant,21,1,143,42,483,660,1
"Balyerwa, Wuparo, Dzoti",2017,Kudu,17,4,95,33,277,660,1
"Balyerwa, Wuparo, Dzoti",2017,Roan,11,2,43,16,115,660,1
"Balyerwa, Wuparo, Dzoti",2017,Warthog,8,2,44,10,480,660,1
"Balyerwa, Wuparo, Dzoti",2018,Burchell's Zebra,39,3,193,63,587,660,1
"Balyerwa, Wuparo, Dzoti",2018,Duiker,5,5,88,38,204,660,1
"Balyerwa, Wuparo, Dzoti",2018,Kudu,12,5,101,37,278,660,1
"Balyerwa, Wuparo, Dzoti",2018,Roan,14,2,47,7,313,660,1
"Balyerwa, Wuparo, Dzoti",2018,Warthog,2,1,16,3,90,660,1
"Balyerwa, Wuparo, Dzoti",2019,Buffalo,17,2,17,,,660,1
"Balyerwa, Wuparo, Dzoti",2019,Burchell's Zebra,14,1,14,,,660,1
"Balyerwa, Wuparo, Dzoti",2019,Duiker,17,12,307,162,580,660,1
"Balyerwa, Wuparo, Dzoti",2019,Elephant,132,11,446,224,889,660,1
"Balyerwa, Wuparo, Dzoti",2019,Impala,197,6,858,194,3805,660,1
"Balyerwa, Wuparo, Dzoti",2019,Kudu,5,2,57,15,207,660,1
"Balyerwa, Wuparo, Dzoti",2019,Roan,23,4,43,8,233,660,1
"Balyerwa, Wuparo, Dzoti",2019,Wildebeest,79,4,79,,,660,1
"Balyerwa, Wuparo, Dzoti",2020,Buffalo,532,4,0,0,0,660,1
"Balyerwa, Wuparo, Dzoti",2020,Duiker,18,16,275,153,493,660,1
"Balyerwa, Wuparo, Dzoti",2020,Elephant,43,3,107,28,410,660,1
"Balyerwa, Wuparo, Dzoti",2020,Impala,164,14,902,272,2998,660,1
"Balyerwa, Wuparo, Dzoti",2020,Kudu,50,8,197,92,420,660,1
"Balyerwa, Wuparo, Dzoti",2020,Roan,11,6,38,11,130,660,1
"Balyerwa, Wuparo, Dzoti",2020,Warthog,34,8,189,65,551,660,1
"Balyerwa, Wuparo, Dzoti",2021,Duiker,17,16,224,138,362,660,1
"Balyerwa, Wuparo, Dzoti",2021,Elephant,23,3,106,35,320,660,1
"Balyerwa, Wuparo, Dzoti",2021,Impala,118,11,793,283,2224,660,1
"Balyerwa, Wuparo, Dzoti",2021,Kudu,6,3,77,26,226,660,1
"Balyerwa, Wuparo, Dzoti",2021,Roan,9,3,38,13,111,660,1
"Balyerwa, Wuparo, Dzoti",2021,Warthog,9,4,93,35,245,660,1
"Balyerwa, Wuparo, Dzoti",2022,Duiker,9,8,127,52,311,660,1
"Balyerwa, Wuparo, Dzoti",2022,Elephant,157,4,201,63,640,660,1
"Balyerwa, Wuparo, Dzoti",2022,Impala,123,4,326,98,1088,660,1
"Balyerwa, Wuparo, Dzoti",2022,Kudu,12,1,31,6,176,660,1
"Balyerwa, Wuparo, Dzoti",2022,Roan,3,1,14,3,76,660,1
"Balyerwa, Wuparo, Dzoti",2023,Duiker,24,21,384,223,671,660,1
"Balyerwa, Wuparo, Dzoti",2023,Elephant,68,6,334,142,785,660,1
"Balyerwa, Wuparo, Dzoti",2023,Impala,410,23,2210,1035,4722,660,1
"Balyerwa, Wuparo, Dzoti",2023,Kudu,24,7,203,91,454,660,1
"Balyerwa, Wuparo, Dzoti",2023,Roan,35,5,83,30,234,660,1
"Balyerwa, Wuparo, Dzoti",2023,Warthog,82,11,477,198,1147,660,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Duiker,19,18,807,545,1193,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Impala,5,1,147,48,453,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Kudu,5,2,531,254,1106,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Roan,44,6,132,33,531,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Warthog,22,6,420,159,1109,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2010,Wildebeest,35,2,0,0,0,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2011,Duiker,31,29,1583,1129,2220,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2011,Impala,15,2,119,44,325,1029,1
"Sobbe, Mayuni, Mashi, Kwandu",2011,Kudu,19,4,605,242,1515,1029,1
