Sequence,Group,SpeciesName,Year,Total,Books,Index,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2002,22,26,0.8,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2003,106,36,2.9,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2004,53,24,2.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2005,100,26,3.8,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2006,209,38,5.5,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2007,49,24,2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2008,120,32,3.8,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2009,284,48,5.9,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2010,395,40,9.9,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2011,434,38,11.4,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2012,281,33,8.5,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2013,266,22,12.1,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2014,194,43,4.5,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2015,169,52,3.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2016,107,56,1.9,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2017,162,40,4,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2018,98,61,1.6,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2019,83,49,1.7,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2020,86,42,2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2021,62,44,1.4,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2022,69,59,1.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,Cheetah,2023,79,52,1.5,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2002,175,26,6.7,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2003,245,34,7.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2004,147,18,8.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2005,183,20,9.2,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2006,203,38,5.3,,,,,,,,,,,,,,,,,,,
1,South of Vet Fence,"Jackal, Black-backed",2007,209,22,9.5,,,,,,,,,,,,,,,,,,,
